police_station,parking_count,event_count,parking_norm,event_norm,TVI,risk_level
HAL Old Airport,20819,361,0.6000761815464853,0.9542857142857143,74.1759994642177,Critical
Upparpet,34468,63,1.0,0.10285714285714286,64.11428571428571,High
Shivajinagar,28044,93,0.8117729789914735,0.18857142857142858,56.24923588234555,High
Kodigehalli,10916,272,0.3099123912215418,0.7,46.5947434732925,Medium
Malleshwaram,22200,80,0.6405403029681502,0.15142857142857144,44.48956103523187,Medium
Yelahanka,2440,377,0.061560549679158486,1.0,43.693632980749506,Medium
Halasuru Gate,6294,297,0.17448504204635354,0.7714285714285715,41.326245379924075,Medium
Byatarayanapura,4555,297,0.12353130768554602,0.7714285714285715,38.26902131827562,Medium
K.R. Pura,6546,228,0.18186879193647632,0.5742857142857143,33.88355608761715,Medium
Sadashivanagar,1445,302,0.032406457851094375,0.7857142857142857,33.37295889963709,Medium
Yeshwanthpura,2587,280,0.06586773711506344,0.7228571428571429,32.86634994118952,Medium
Banaswadi,3759,245,0.10020803422309472,0.6228571428571429,30.926767767671397,Medium
City Market,17646,27,0.5071053942395031,0.0,30.426323654370186,Medium
Hennuru,892,276,0.016203228925547188,0.7114285714285714,29.429336592675693,Low
Vijayanagara,14652,58,0.41937941340209206,0.08857142857142856,28.705621946982664,Low
Magadi Road,8558,142,0.24082158867825018,0.32857142857142857,27.592152463552154,Low
Rajajinagar,10998,104,0.3123150399953119,0.22,27.53890239971871,Low
Cubbon Park,3255,212,0.08544053444284919,0.5285714285714286,26.26928920942809,Low
High ground,4951,185,0.13513434322716752,0.4514285714285714,26.16520345077291,Low
Chamarajpet,3795,192,0.10126285563596941,0.4714285714285714,24.932914195301024,Low
Kamakshipalya,1431,224,0.03199624952386534,0.5628571428571428,24.434060685717636,Low
Jayanagara,3813,178,0.10179026634240675,0.43142857142857144,23.364558837687266,Low
Jeevanbheemanagar,6736,127,0.18743590494887047,0.2857142857142857,22.674725725503656,Low
Ashok Nagar,3524,171,0.09332239444460723,0.4114285714285714,22.056486523819295,Low
No Police Station,339,219,0.0,0.5485714285714286,21.942857142857143,Low
Whitefield,2303,181,0.05754636819127428,0.44,21.05278209147646,Low
Mahadevapura,6187,120,0.17134987840253157,0.26571428571428574,20.909564132723325,Low
Jalahalli,1160,197,0.024055788332503148,0.4857142857142857,20.871918728521617,Low
Madiwala,1563,184,0.03586392803773917,0.44857142857142857,20.094692825121495,Low
HSR Layout,5018,116,0.1370974830789065,0.2542857142857143,18.397277556162962,Low
Peenya,974,178,0.018605877699317295,0.43142857142857144,18.373495519101898,Low
Electronic City,4333,124,0.11702657563948549,0.27714285714285714,18.107308824083415,Low
Hebbala,3209,135,0.08409270708195377,0.30857142857142855,17.388419567774367,Low
Halasur,4011,118,0.1075917841132175,0.26,16.85550704679305,Low
Bellandur,4964,98,0.1355152509595945,0.20285714285714285,16.245200771861384,Low
Adugodi,3332,120,0.08769668024260892,0.26571428571428574,15.890372243127965,Low
Sheshadripuram,3090,123,0.0806059363005069,0.2742857142857143,15.807784749458985,Low
Chikkajala,5834,74,0.16100676843739928,0.13428571428571429,15.031834677672528,Low
Mico Layout,2588,116,0.0658970377098655,0.2542857142857143,14.125250834020504,Low
Hulimavu,2395,117,0.06024202291306514,0.2571428571428571,13.900235660498195,Low
R.T. Nagar,1736,127,0.04093293093849805,0.2857142857142857,13.884547284881311,Low
Wilson Garden,3108,105,0.08113334700694425,0.22285714285714286,13.78228653470237,Low
Jnanabharathi,1063,134,0.021213630636701925,0.3057142857142857,13.501389266773545,Low
J.P. Nagar,1637,124,0.03803217205309268,0.27714285714285714,13.367644608899848,Low
Pulikeshinagar(F.Town),4136,74,0.11125435846347681,0.13428571428571429,12.04669007923718,Low
Chikkabanavara,785,118,0.01306806528172522,0.26,11.184083916903514,Low
Banashankari,1202,102,0.02528641331419028,0.21428571428571427,10.088613370279989,Low
Basavanagudi,3604,47,0.09566644202877318,0.05714285714285714,8.025700807440677,Low
K.S. Layout,828,89,0.014327990858214422,0.17714285714285713,7.9453937372071515,Low
K.G. Halli,892,74,0.016203228925547188,0.13428571428571429,6.343622306961402,Low
Thalagattapura,870,50,0.01555861583990155,0.06571428571428571,3.5620883789655213,Low
V.V.Puram (C.Pet),1556,37,0.03565882387412465,0.02857142857142857,3.2823865753046215,Low
Devanahalli Airport,940,37,0.017609657476046765,0.02857142857142857,2.199436591419949,Low
Kengeri,464,44,0.0036625743502593103,0.04857142857142857,2.1626116038727017,Low
